Country;Esperance;Bien Etre;Heureux;Empreinte;Ineg_rev;Ineg_esp;Ineg_BE;Index; PIB ;Population;Continent;Region;Regime_poli;liberte_internet;nb_annee_scolaire_moy;pct_popu_acces_internet;continent;Régime_simp;index_quali
Lesotho;48,9;4,9;13,4;1,7;0,42;32,6;4,3;16,7;1159;2057331;AF;Sub Saharan Africa;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;PF;Entre 10 et 15;Moins de 25;AF;Monarchie;0-25
Liberia;60,2;4,4;15,7;1,2;0,38;40,3;4,1;22,2;414;4190155;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Lithuania;72,8;5,8;36,4;5,8;0,11;68,8;5,4;21;14343;2987773;EU;Post-communist;Régimes républicains parlementaires classiques;F;Plus de 15;Entre 50 et 75;EU;Republique;0-25
Luxembourg;81,1;7;51,7;15,8;0,07;79;6,7;13,2;105447;590677;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Entre 10 et 15;Plus de 75;EU;Monarchie;0-25
Macedonia;75,1;4,6;27,2;3,3;0,18;69,4;4,1;23,4;4710;2069270;EU;Post-communist;Régimes républicains parlementaires classiques;PF;Entre 10 et 15;Entre 50 et 75;EU;Republique;0-25
Malawi;60,1;4,3;13,7;0,8;0,45;40,4;3,5;22,1;270;15700436;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Malaysia;74,4;5,9;38,3;3,7;0,1;69,5;5,7;30,3;10835;29021940;AS;Asia Pacific;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;PF;Entre 10 et 15;Entre 50 et 75;AS;Monarchie;25-50
Malta;80,2;6;40,8;4,4;0,13;76,6;5,5;29;21176;419455;EU;Europe;Régimes républicains parlementaires classiques;F;Entre 10 et 15;Entre 50 et 75;EU;Republique;25-50
Mauritania;62,6;4,7;18;2,5;0,37;41,5;4,5;18;1283;3777067;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Mauritius;74;5,5;33,1;3,5;0,17;66,7;5,1;27,4;9114;1255882;AF;Sub Saharan Africa;Régimes républicains parlementaires classiques;F;Plus de 15;Entre 25 et 50;AF;Republique;25-50
Mexico;76,4;7,3;44,3;2,9;0,19;66,3;6,8;40,7;9703;122070963;NA;Americas;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;NoA;Republique;25-50
Mongolia;68,6;4,9;25,3;6,1;0,22;56,9;4,6;14,3;4377;2808339;AS;Asia Pacific;Régimes semi-présidentiels;F;Entre 10 et 15;Entre 25 et 50;AS;Republique;0-25
Montenegro;75,8;5,2;32,1;3,8;0,16;71,8;4,6;25,1;6587;620601;EU;Post-communist;Régimes républicains parlementaires classiques;PF;Plus de 15;Entre 50 et 75;EU;Republique;25-50
Morocco;73,4;5;26,7;1,7;0,25;61,6;4,5;32,7;2931;32984190;AF;Middle East and North Africa;Monarchies constitutionnelles avec monarque ayant un pouvoir effectif;PF;Entre 10 et 15;Entre 50 et 75;AF;Monarchie;25-50
Mozambique;54,3;5;15;0,9;0,43;34,5;4,5;23,7;565;25732928;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Myanmar;65,5;4,4;18,8;1,4;0,32;48,4;4;24,7;1421;52543841;AS;Asia Pacific;Régimes présidentiels avec Premier ministre;NF;Moins de 10;Moins de 25;AS;Republique;0-25
Namibia;64;4,7;21,3;2,5;0,26;50,1;4,4;21,6;5680;2291645;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;F;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Nepal;68,8;4,2;20,2;1;0,27;55,3;3,8;30,5;685;27500515;AS;Asia Pacific;Régimes républicains parlementaires classiques;PF;Entre 10 et 15;Moins de 25;AS;Republique;25-50
Netherlands;81,2;7,5;57;5,3;0,04;78,2;7,5;35,3;49475;16754962;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;EU;Monarchie;25-50
New Zealand;81,4;7,2;52,7;5,6;0,08;77,7;6,9;31,3;39505;4408100;OC;Asia Pacific;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;OC;Monarchie;25-50
Nicaragua;74,3;5,4;29,2;1,4;0,25;63,4;4,8;38,7;1780;5877034;NA;Americas;Régimes présidentiels sans Premier ministre;NF;Entre 10 et 15;Moins de 25;NoA;Republique;25-50
Niger;60;3,8;13,1;1,6;0,4;38,9;3,5;16,8;394;17635782;AF;Sub Saharan Africa;Régimes semi-présidentiels;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Nigeria;52,1;5,5;15,5;1,2;0,44;30,9;5,2;22,2;2740;168240403;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Moins de 10;Entre 25 et 50;AF;Republique;0-25
Norway;81,3;7,7;57,1;5;0,07;78,6;7,4;36,8;101564;5018573;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;EU;Monarchie;25-50
Oman;76,3;6,9;44,5;7,5;0,13;70,9;6,4;21,1;21534;3545192;AS;Middle East and North Africa;Monarchie absolue;NF;Entre 10 et 15;Entre 50 et 75;AS;Monarchie;0-25
Pakistan;65,7;5,1;19,5;0,8;0,4;44,1;4,6;31,5;1266;177392252;AS;Asia Pacific;Régimes républicains parlementaires classiques;NF;Moins de 10;Moins de 25;AS;Republique;25-50
Palestine;72,6;4,6;24,5;1,2;0,24;62,6;4,1;34,5;2783;4046901;AS;Middle East and North Africa;Régimes semi-présidentiels;NF;Entre 10 et 15;Entre 50 et 75;AS;Republique;25-50
Panama;77,2;6,9;42,1;2,8;0,19;68,3;6,3;39,5;10139;3743761;NA;Americas;Régimes présidentiels sans Premier ministre;F;Entre 10 et 15;Entre 25 et 50;NoA;Republique;25-50
Paraguay;72,6;5,8;31,8;4,2;0,22;59,4;5,5;23,3;3858;6379162;SA;Americas;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;SA;Republique;0-25
Peru;74,1;5,8;32,9;2,3;0,21;63,5;5,3;34,6;6389;30158768;SA;Americas;Régimes présidentiels avec Premier ministre;F;Entre 10 et 15;Entre 25 et 50;SA;Republique;25-50
Philippines;67,9;5;24,1;1,1;0,26;56,9;4,4;35;2605;96017322;AS;Asia Pacific;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;AS;Republique;25-50
Poland;76,9;5,9;39,2;4,4;0,11;72,9;5,5;27,5;13142;38063164;EU;Post-communist;Régimes semi-présidentiels;F;Plus de 15;Entre 50 et 75;EU;Republique;25-50
Portugal;80,3;5;32,3;3,9;0,16;77,2;4,3;24,8;20577;10514844;EU;Europe;Régimes semi-présidentiels;F;Plus de 15;Entre 50 et 75;EU;Republique;0-25
Republic of Congo;61;3,9;13,6;1,3;0,4;42;3,4;18,8;3191;4286188;AF;Sub Saharan Africa;Régimes semi-présidentiels;NF;Entre 10 et 15;Entre 25 et 50;AF;Republique;0-25
Romania;74,3;5,2;30,1;2,7;0,19;68,1;4,6;28,8;8577;20058035;EU;Post-communist;Régimes semi-présidentiels;F;Entre 10 et 15;Entre 50 et 75;EU;Republique;25-50
Russia;69,5;5,6;31,7;5,7;0,16;63,4;5,2;18,7;14079;143201676;EU;Post-communist;Régimes semi-présidentiels;NF;Entre 10 et 15;Entre 50 et 75;EU;Republique;0-25
Rwanda;63,1;3,3;12,4;0,9;0,37;44,3;3;19,6;667;10817350;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Senegal;65,4;3,7;15,5;1,2;0,33;49,1;3,3;21,9;1019;13780108;AF;Sub Saharan Africa;Régimes semi-présidentiels;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Serbia;74,5;5,2;30,3;2,7;0,19;68,6;4,6;29;5659;7199077;EU;Post-communist;Régimes républicains parlementaires classiques;PF;Entre 10 et 15;Entre 50 et 75;EU;Republique;25-50
Sierra Leone;49,8;4,5;10,8;1,2;0,5;28,2;4;15,3;619;6043157;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Slovakia;75,9;5,9;37,9;4,1;0,13;71,9;5,4;28,2;17207;5407579;EU;Post-communist;Régimes républicains parlementaires classiques;F;Plus de 15;Plus de 75;EU;Republique;25-50
Slovenia;80;6,1;42,6;5,8;0,1;77,1;5,7;24,6;22478;2057159;EU;Post-communist;Régimes républicains parlementaires classiques;F;Plus de 15;Entre 50 et 75;EU;Republique;0-25
South Africa;56,3;5,1;18,5;3,3;0,33;41,8;4,6;15,9;7592;52341695;AF;Sub Saharan Africa;Régime républicain hybride;F;Entre 10 et 15;Entre 25 et 50;AF;Republique;0-25
South Korea;81,3;6;42,2;5,7;0,11;78,3;5,5;24,8;24454;50004441;AS;Asia Pacific;Régimes présidentiels avec Premier ministre;PF;Plus de 15;Plus de 75;AS;Republique;0-25
Spain;82,2;6,3;45,3;3,7;0,1;79,3;5,9;36;28648;46773055;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;EU;Monarchie;25-50
Sri Lanka;74,6;4,2;24,9;1,3;0,17;68,6;3,8;33,8;3351;20424000;AS;Asia Pacific;Régimes présidentiels avec Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;AS;Republique;25-50
Suriname;70,8;6,3;35,2;4,3;0,19;61,2;5,9;25,4;9422;528535;SA;Americas;Régimes présidentiels sans Premier ministre;F;Entre 10 et 15;Entre 25 et 50;SA;Republique;25-50
Swaziland;48,9;4,9;13,6;2;0,41;31,8;4,4;15,5;3989;1231694;AF;Sub Saharan Africa;Monarchie absolue;NF;Entre 10 et 15;Entre 25 et 50;AF;Monarchie;0-25
Sweden;81,8;7,6;57,4;7,3;0,06;79,1;7,4;28;57134;9519374;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;EU;Monarchie;25-50
Switzerland;82,6;7,8;59,3;5,8;0,06;79,4;7,6;34,3;83209;7996861;EU;Europe;Régime directorial;F;Plus de 15;Plus de 75;EU;Republique;25-50
Syria;70,4;3,2;14,7;1,5;0,3;60,2;2,6;19,1;2080;21427155;AS;Middle East and North Africa;Régimes semi-présidentiels;NF;Entre 10 et 15;Entre 25 et 50;AS;Republique;0-25
Tajikistan;69;4,5;22,2;0,9;0,26;53;4,3;34,2;962;7930929;AS;Post-communist;Régimes semi-présidentiels;NF;Entre 10 et 15;Moins de 25;AS;Republique;25-50
Tanzania;63,5;4;16,2;1,3;0,33;47,7;3,6;22,1;828;48645709;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Thailand;74,1;6,3;38,6;2,7;0,15;66,3;6;37,3;5918;67164130;AS;Asia Pacific;Junte militaire;NF;Entre 10 et 15;Entre 25 et 50;AS;Dictature;25-50
Togo;58,6;2,9;9;1,1;0,43;39,6;2,4;13,2;580;6745581;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;PF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Trinidad and Tobago;70,1;6,4;34,4;7,9;0,21;58,4;6;15,7;18322;1341579;NA;Americas;Régimes républicains parlementaires classiques;F;Entre 10 et 15;Entre 50 et 75;NoA;Republique;0-25
Tunisia;74,6;4,5;25,2;2,3;0,22;65,5;4;26,2;4188;10777500;AF;Middle East and North Africa;Régimes semi-présidentiels;PF;Entre 10 et 15;Entre 25 et 50;AF;Republique;25-50
Turkey;74,7;5,3;31,2;3,3;0,19;66,2;4,9;26,4;10646;74099255;AS;Middle East and North Africa;Régimes présidentiels avec Premier ministre;NF;Entre 10 et 15;Entre 50 et 75;AS;Republique;25-50
Turkmenistan;65,3;5,5;24;5,5;0,31;48,3;5,1;14,6;6798;5172941;AS;Post-communist;État à parti unique;NF;Entre 10 et 15;Moins de 25;AS;Dictature;0-25
Uganda;57,1;4,3;13,8;1,2;0,41;36,8;3,9;19,4;656;35400620;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Ukraine;70,3;5;28,3;2,8;0,17;64,2;4,6;26,4;3855;45593300;EU;Post-communist;Régimes semi-présidentiels;PF;Plus de 15;Entre 25 et 50;EU;Republique;25-50
United Kingdom;80,4;6,9;49,1;4,9;0,09;76,8;6,6;31,9;41295;63700300;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;EU;Monarchie;25-50
United States of America;78,8;7;46,8;8,2;0,13;74;6,5;20,7;51457;314112078;NA;Americas;Régimes présidentiels sans Premier ministre;F;Plus de 15;Plus de 75;NoA;Republique;0-25
Uruguay;76,9;6,4;39,4;2,9;0,18;69,6;5,8;36,1;15128;3396753;SA;Americas;Régimes présidentiels sans Premier ministre;F;Plus de 15;Entre 50 et 75;SA;Republique;25-50
Uzbekistan;68,2;6;27,9;2,3;0,3;51,6;5,6;29,1;1719;29774500;AS;Post-communist;Régimes présidentiels avec Premier ministre;NF;Entre 10 et 15;Entre 25 et 50;AS;Republique;25-50
Vanuatu;71,3;6,5;34,9;1,9;0,22;60,3;5,9;40,6;3158;247498;OC;Asia Pacific;Régimes républicains parlementaires classiques;F;Entre 10 et 15;Moins de 25;OC;Republique;25-50
Venezuela;73,9;7,1;41,5;3,6;0,19;65,5;6,5;33,6;12772;29854238;SA;Americas;Régimes présidentiels sans Premier ministre;NF;Entre 10 et 15;Entre 50 et 75;SA;Republique;25-50
Vietnam;75,5;5,5;32,8;1,7;0,19;64,8;5,2;40,3;1755;88809200;AS;Asia Pacific;État à parti unique;NF;Entre 10 et 15;Entre 25 et 50;AS;Dictature;25-50
Yemen;63,3;4,1;15,2;1;0,39;44,7;3,6;22,8;1289;24882792;AS;Middle East and North Africa;Régimes présidentiels avec Premier ministre;NF;Moins de 10;Moins de 25;AS;Republique;0-25
Zambia;58,4;5;16,7;1;0,41;38,7;4,5;25,2;1687;14786581;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Moins de 25;AF;Republique;25-50
Zimbabwe;53,7;5;16,4;1,4;0,37;36,9;4,6;22,1;851;14565482;AF;Sub Saharan Africa;Régimes semi-présidentiels;PF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
